1024	0	0
2048	0	0
3072	0	0
4096	0	0
5120	0	0
6144	0	0
7168	0	0
8192	0	0
9216	0	0
10240	0	0
11264	0	0
12288	0	0
13312	0	0
14336	0	0
15360	0	0
16384	0	0
1024	0.00352815	0.00140992
2048	0.0469808	0.00567908
3072	0.130688	0.0128056
4096	0.242552	0.022919
5120	0.379818	0.0357586
6144	0.537947	0.0514837
7168	0.716581	0.0701955
8192	0.936838	0.09139
9216	1.11663	0.115568
10240	1.3364	0.142983
11264	1.57155	0.172662
12288	1.82247	0.20588
13312	2.11617	0.242185
14336	2.43611	0.279877
15360	2.75978	0.321925
16384	3.1402	0.366408
