1792 77.975 5845205051 1456175 25.2842 746433907 1857810
1824 47.1332 6529993617 1508620 26.6306 791334458 1924723
1856 53.931 6667575248 1561992 28.0104 839183662 1992819
1888 52.7802 7252428457 1616293 29.4302 889714209 2062100
1920 96.1814 7275926523 1671521 31.1012 942509956 2132564
1952 59.3222 8027717743 1727678 32.6678 998253144 2204213
1984 77.4936 8130399951 1784762 34.2354 1056299047 2277045
2016 68.5624 8857497676 1842775 35.9644 1117964650 2351062
2048 219.818 8783625485 1901715 37.8272 1187824295 2426262
