<<<<<<< HEAD
14336 568811096 282949619 357671369 282949614
14592 589306405 293145022 370558630 293145017
14848 610164466 303520881 383673987 303520876
15104 631385258 314077184 397017419 314077179
15360 652968817 324813943 410588962 324813938
=======
3072 27588205 4504497 17893172 4504499
3328 32376079 5286153 20997858 5286153
3584 37546969 6130326 24350908 6130326
3840 43100872 7037021 27952315 7037021
4096 49037784 8006258 31802075 8006258
>>>>>>> 6559b7006b118479bcb76fb9f90a0b81a5c4213d
